Navigator kernel HTTP smoke server on 0.0.0.0:8080 root=D:\dev\guideXOSServer
127.0.0.1 - - "GET /navigator-smoke/basic.html HTTP/1.0" 200 -
127.0.0.1 - - "GET /navigator-smoke/redirect-relative HTTP/1.0" 302 -
127.0.0.1 - - "GET /navigator-smoke/final.html HTTP/1.0" 200 -
127.0.0.1 - - "GET /navigator-smoke/redirect-absolute HTTP/1.0" 301 -
127.0.0.1 - - "GET /navigator-smoke/final.html HTTP/1.0" 200 -
127.0.0.1 - - "GET /navigator-smoke/redirect-loop HTTP/1.0" 302 -
127.0.0.1 - - "GET /navigator-smoke/redirect-loop HTTP/1.0" 302 -
127.0.0.1 - - "GET /navigator-smoke/redirect-loop HTTP/1.0" 302 -
127.0.0.1 - - "GET /navigator-smoke/redirect-loop HTTP/1.0" 302 -
127.0.0.1 - - "GET /navigator-smoke/redirect-loop HTTP/1.0" 302 -
127.0.0.1 - - "GET /navigator-smoke/redirect-loop HTTP/1.0" 302 -
127.0.0.1 - - "GET /navigator-smoke/chunked.html HTTP/1.0" 200 -
127.0.0.1 - - "GET /navigator-smoke/missing.html HTTP/1.0" 404 -
127.0.0.1 - - "GET /navigator-smoke/gzip.html HTTP/1.0" 200 -
127.0.0.1 - - "GET /navigator-smoke/image-relative.html HTTP/1.0" 200 -
127.0.0.1 - - "GET /navigator-smoke/logo.png HTTP/1.0" 200 -
127.0.0.1 - - "GET /navigator-smoke/image-absolute.html HTTP/1.0" 200 -
127.0.0.1 - - "GET /navigator-smoke/logo.png HTTP/1.0" 200 -
127.0.0.1 - - "GET /navigator-smoke/image-redirect.html HTTP/1.0" 200 -
127.0.0.1 - - "GET /navigator-smoke/redirect-png HTTP/1.0" 302 -
127.0.0.1 - - "GET /navigator-smoke/logo.png HTTP/1.0" 200 -
127.0.0.1 - - "GET /navigator-smoke/image-chunked.html HTTP/1.0" 200 -
127.0.0.1 - - "GET /navigator-smoke/chunked.png HTTP/1.0" 200 -
127.0.0.1 - - "GET /navigator-smoke/image-nonpng.html HTTP/1.0" 200 -
127.0.0.1 - - "GET /navigator-smoke/not-png.txt HTTP/1.0" 200 -
